idx,gt_burn_frac,landcover_dom,iou_new,iou_old,delta_iou,f1_new,f1_old
57,0.0001983642578125,2,0.0,0.0,0.0,0.0,0.0
58,0.000885009765625,2,0.0,0.0,0.0,0.0,0.0
59,0.0010223388671875,5,0.0,0.0,0.0,0.0,0.0
60,0.001312255859375,2,0.0,0.0,0.0,0.0,0.0
61,0.0382080078125,2,0.0,0.0,0.0,0.0,0.0
62,0.0003204345703125,11,0.0,0.0,0.0,0.0,0.0
63,0.0443572998046875,11,0.009000321440036966,0.04404709986907098,-0.03504677842903402,0.0178400714847277,0.08437760592263983
64,0.01080322265625,2,0.04990132506339871,0.09465240641698576,-0.04475108135358705,0.09505907535654655,0.17293600232791018
65,0.0005950927734375,2,0.004286185295082661,0.0,0.004286185295082661,0.008535784550575427,0.0
66,0.010284423828125,2,0.0,0.0,0.0,0.0,0.0
67,0.001068115234375,2,0.0,0.0,0.0,0.0,0.0
68,0.235137939453125,2,0.5406608076534983,0.0,0.5406608076534983,0.7018557247185883,0.0
69,0.016021728515625,11,0.09184744576618976,0.0,0.09184744576618976,0.16824226732600375,0.0
70,0.010833740234375,2,0.0,0.0,0.0,0.0,0.0
71,0.0009613037109375,2,0.006130193636269212,0.0,0.006130193636269212,0.012185686532633778,0.0
72,0.0787353515625,2,0.69287141905281,0.0,0.69287141905281,0.8185753590294766,0.0
73,0.002410888671875,2,0.0,0.0,0.0,0.0,0.0
74,0.0001220703125,2,0.030188679244143823,0.0,0.030188679244143823,0.05860805803485891,0.0
75,0.0004425048828125,2,0.0,0.0,0.0,0.0,0.0
76,0.0008697509765625,5,0.0,0.0,0.0,0.0,0.0
77,0.000152587890625,2,0.0,0.0,0.0,0.0,0.0
78,0.0030364990234375,2,0.0,0.0,0.0,0.0,0.0
79,0.0001068115234375,2,0.0007341373885676621,0.0,0.0007341373885676621,0.0014671976378194678,0.0
80,0.0110931396484375,5,0.0,0.0,0.0,0.0,0.0
81,0.181304931640625,11,0.6131951731370585,0.49829095456398637,0.11490421857307215,0.7602244034936246,0.6651457778466449
82,0.067138671875,11,0.31727718488583984,0.12221471978365471,0.1950624651021851,0.4817166593598587,0.21780986555416862
83,0.00360107421875,2,0.0,0.0,0.0,0.0,0.0
84,0.0013275146484375,2,0.2865853658361838,0.0,0.2865853658361838,0.44549762544327404,0.0
85,0.001861572265625,2,0.0,0.0,0.0,0.0,0.0
86,0.31915283203125,2,0.05541212468920663,0.04608911837825297,0.00932300631095366,0.1050056615191355,0.08811700098572604
87,0.0008087158203125,2,0.11181434598920223,0.0,0.11181434598920223,0.20113851810736366,0.0
88,0.261383056640625,2,0.7524827288424263,0.011500291885574138,0.7409824369568522,0.8587619291076753,0.022739077515111745
89,0.0016326904296875,2,0.0,0.0,0.0,0.0,0.0
90,0.4807281494140625,11,0.0,0.0,0.0,0.0,0.0
91,0.00091552734375,5,0.0,0.0,0.0,0.0,0.0
92,0.007568359375,2,0.04445639508824553,0.0,0.04445639508824553,0.08512829232820165,0.0
93,0.00091552734375,2,0.0,0.0,0.0,0.0,0.0
94,0.0001373291015625,2,0.0,0.0,0.0,0.0,0.0
95,0.0018157958984375,2,0.04552590266858114,0.0,0.04552590266858114,0.08708708623294749,0.0
96,0.0002899169921875,2,0.0,0.0,0.0,0.0,0.0
97,0.0006561279296875,2,0.0,0.0,0.0,0.0,0.0
98,0.0062103271484375,2,0.0,0.0,0.0,0.0,0.0
99,0.0002288818359375,7,0.0,0.0,0.0,0.0,0.0
100,0.000274658203125,2,0.0,0.0,0.0,0.0,0.0
101,0.0118865966796875,2,0.44950495049059896,0.0,0.44950495049059896,0.6202185742471129,0.0
102,0.0109710693359375,2,0.2698191933203085,0.0,0.2698191933203085,0.42497261438767525,0.0
103,0.000396728515625,2,0.0,0.0,0.0,0.0,0.0
104,0.8876190185546875,2,0.12691891148508244,0.7935788248267885,-0.6666599133417062,0.22524941069905208,0.8849110051459225
105,0.00018310546875,2,0.0,0.0,0.0,0.0,0.0
106,0.0002288818359375,7,0.0,0.0,0.0,0.0,0.0
107,0.0031585693359375,5,0.3414634146281975,0.0,0.3414634146281975,0.5090909051464666,0.0
108,0.0006103515625,7,0.0,0.0,0.0,0.0,0.0
109,0.0012359619140625,2,0.0,0.0,0.0,0.0,0.0
110,0.001983642578125,2,0.0,0.0,0.0,0.0,0.0
111,0.06219482421875,11,0.41723622383552195,0.07384690873387181,0.34338931510165016,0.5888026481430141,0.13753712460389217
112,0.007080078125,2,0.0,0.04418985269976776,-0.04418985269976776,0.0,0.08463949446300664
113,0.0006866455078125,2,0.009012617664712572,0.0,0.009012617664712572,0.017864231660913384,0.0
114,0.000640869140625,2,0.13265306121997777,0.0,0.13265306121997777,0.23423423201579963,0.0
115,0.0004119873046875,5,0.0,0.0,0.0,0.0,0.0
116,0.0269622802734375,11,0.21189591078041503,0.0,0.21189591078041503,0.34969324864754464,0.0
117,0.0005035400390625,7,0.0,0.0,0.0,0.0,0.0
118,0.0002288818359375,5,0.0,0.0,0.0,0.0,0.0
119,0.0034332275390625,5,0.0,0.0,0.0,0.0,0.0
120,0.098876953125,2,0.0,0.0,0.0,0.0,0.0
121,0.000274658203125,2,0.0,0.0,0.0,0.0,0.0
122,0.000152587890625,7,0.0,0.0,0.0,0.0,0.0
123,0.0001068115234375,2,0.0055821371610400156,0.0,0.0055821371610400156,0.011102299651510801,0.0
124,0.000823974609375,2,0.044334975369094136,0.0,0.044334975369094136,0.08490565956301178,0.0
125,0.1925811767578125,11,0.6498491911155403,0.0,0.6498491911155403,0.7877679857042785,0.0
126,0.0005340576171875,2,0.0,0.0,0.0,0.0,0.0
127,0.0432586669921875,2,0.7818889970763327,0.0,0.7818889970763327,0.8775956234174785,0.0
128,0.0001373291015625,2,0.0,0.0,0.0,0.0,0.0
129,0.0003509521484375,2,0.0,0.0,0.0,0.0,0.0
130,0.0001678466796875,2,0.0,0.0,0.0,0.0,0.0
131,0.00390625,2,0.03325971157589547,0.0,0.03325971157589547,0.06437822143134928,0.0
132,0.0006103515625,2,0.0,0.0,0.0,0.0,0.0
133,0.0006256103515625,2,0.0,0.0,0.0,0.0,0.0
134,0.00018310546875,5,0.0,0.0,0.0,0.0,0.0
135,0.0004425048828125,2,0.013776722090195835,0.0,0.013776722090195835,0.02717900629209857,0.0
136,0.0106353759765625,2,0.21244705115603635,0.0,0.21244705115603635,0.35044342613925444,0.0
137,0.0002288818359375,2,0.0,0.0,0.0,0.0,0.0
138,0.0024261474609375,2,0.07943925233273648,0.0,0.07943925233273648,0.14718614288262977,0.0
139,0.000457763671875,2,0.0,0.0,0.0,0.0,0.0
140,0.00274658203125,5,0.0,0.0,0.0,0.0,0.0
141,0.0005950927734375,2,0.0,0.0,0.0,0.0,0.0
142,0.000274658203125,2,0.0,0.0,0.0,0.0,0.0
143,0.000274658203125,2,0.0,0.0,0.0,0.0,0.0
144,0.0025482177734375,2,0.046005509641746545,0.0,0.046005509641746545,0.08796418140772742,0.0
145,0.001251220703125,2,0.0,0.0,0.0,0.0,0.0
146,0.000274658203125,7,0.0,0.0,0.0,0.0,0.0
147,0.0002593994140625,2,0.0,0.0,0.0,0.0,0.0
148,0.0014495849609375,2,0.4482758620380499,0.0,0.4482758620380499,0.6190476140340136,0.0
149,0.0007171630859375,2,0.0,0.0,0.0,0.0,0.0
150,0.000640869140625,2,0.0,0.0,0.0,0.0,0.0
151,0.0001373291015625,2,0.0,0.0,0.0,0.0,0.0
152,0.005279541015625,2,0.0,0.0,0.0,0.0,0.0
153,0.0001220703125,2,0.0,0.0,0.0,0.0,0.0
154,0.0009002685546875,2,0.0,0.0,0.0,0.0,0.0
155,0.0079803466796875,5,0.0,0.0,0.0,0.0,0.0
156,0.000732421875,2,0.20689655171521998,0.0,0.20689655171521998,0.34285713999183676,0.0
157,0.0005645751953125,2,0.0,0.0,0.0,0.0,0.0
158,0.004150390625,11,0.0,0.0,0.0,0.0,0.0
159,0.4938507080078125,11,0.32483292296859984,0.29379661113801364,0.031036311830586194,0.4903756762733591,0.4541619694643173
160,0.00421142578125,11,0.03288062902068992,0.0,0.03288062902068992,0.06366781945264705,0.0
161,0.0001373291015625,2,0.0,0.0,0.0,0.0,0.0
162,0.0018310546875,2,0.0,0.0,0.0,0.0,0.0
163,0.0004425048828125,5,0.0,0.0,0.0,0.0,0.0
164,0.0007171630859375,2,0.0,0.0,0.0,0.0,0.0
165,0.005584716796875,2,0.6358695652058719,0.0,0.6358695652058719,0.7774086330358384,0.0
166,0.00054931640625,2,0.0,0.0,0.0,0.0,0.0
167,0.002960205078125,2,0.0,0.0,0.0,0.0,0.0
168,0.0032806396484375,2,0.11929824560984918,0.0,0.11929824560984918,0.2131661397926515,0.0
169,0.00128173828125,2,0.0,0.0,0.0,0.0,0.0
170,0.0002899169921875,2,0.0,0.0,0.0,0.0,0.0
171,0.0002593994140625,2,0.044444444443033505,0.0,0.044444444443033505,0.08510638199351449,0.0
172,0.001556396484375,2,0.0,0.0,0.0,0.0,0.0
173,0.00042724609375,2,0.0034009474067734713,0.0,0.0034009474067734713,0.006778840266524937,0.0
174,0.0003509521484375,2,0.0,0.0,0.0,0.0,0.0
175,0.1937103271484375,2,0.5649805816043549,0.0,0.5649805816043549,0.7220288667382808,0.0
176,0.001068115234375,7,0.0,0.0,0.0,0.0,0.0
177,0.000732421875,2,0.0,0.0,0.0,0.0,0.0
178,0.000885009765625,7,0.0,0.0,0.0,0.0,0.0
179,1.0,11,0.9999999999998475,0.9999999999998475,0.0,0.9999999949998475,0.9999999949998475
180,0.00042724609375,2,0.0,0.0,0.0,0.0,0.0
181,0.0023193359375,2,0.039112050739751,0.0,0.039112050739751,0.07527975442193799,0.0
182,0.0001373291015625,2,0.0,0.0,0.0,0.0,0.0
183,0.001312255859375,2,0.0,0.0,0.0,0.0,0.0
184,0.0009765625,1,0.0,0.0,0.0,0.0,0.0
185,0.00054931640625,2,0.0,0.0,0.0,0.0,0.0
