file_path,percentuale_nodata,supera_soglia
piedmont_new/fire_6661/fire_6661_2022-03-30_pre_sentinel_1.tif,0.00%,NO
piedmont_new/fire_6661/fire_6661_2022-03-27_pre_sentinel_5.tif,0.00%,NO
piedmont_new/fire_6661/fire_6661_2022-03-30_pre_sentinel_3.tif,0.00%,NO
piedmont_new/fire_6661/fire_6661_2022-03-27_pre_landsat_1.tif,95.16%,YES
piedmont_new/fire_6661/fire_6661_2022-03-25_pre_sentinel_6.tif,0.00%,NO
piedmont_new/fire_6349/fire_6349_2021-01-26_pre_sentinel_3.tif,0.00%,NO
piedmont_new/fire_6349/fire_6349_2021-01-26_pre_landsat_1.tif,16.08%,NO
piedmont_new/fire_6349/fire_6349_2021-01-26_pre_sentinel_4.tif,0.00%,NO
piedmont_new/fire_6349/fire_6349_2021-01-24_pre_sentinel_6.tif,0.00%,NO
piedmont_new/fire_6349/fire_6349_2021-01-24_pre_sentinel_5.tif,0.00%,NO
piedmont_new/fire_6349/fire_6349_2021-01-29_pre_sentinel_2.tif,0.00%,NO
piedmont_new/fire_6349/fire_6349_2021-01-29_pre_sentinel_1.tif,0.00%,NO
piedmont_new/fire_7057/fire_7057_2023-11-24_pre_landsat_1.tif,0.06%,NO
piedmont_new/fire_7057/fire_7057_2023-11-20_pre_sentinel_3.tif,0.00%,NO
piedmont_new/fire_7057/fire_7057_2023-11-22_pre_sentinel_2.tif,0.00%,NO
piedmont_new/fire_7057/fire_7057_2023-11-25_pre_sentinel_1.tif,0.00%,NO
piedmont_new/fire_6883/fire_6883_2023-01-14_pre_sentinel_3.tif,0.00%,NO
piedmont_new/fire_6883/fire_6883_2023-01-16_pre_landsat_1.tif,100.00%,YES
piedmont_new/fire_6883/fire_6883_2023-01-16_pre_landsat_2.tif,100.00%,YES
piedmont_new/fire_6883/fire_6883_2023-01-19_pre_sentinel_1.tif,0.00%,NO
piedmont_new/fire_6883/fire_6883_2023-01-14_pre_sentinel_4.tif,0.32%,NO
piedmont_new/fire_6883/fire_6883_2023-01-14_pre_sentinel_5.tif,0.00%,NO
piedmont_new/fire_6883/fire_6883_2023-01-19_pre_sentinel_2.tif,0.00%,NO
piedmont_new/fire_6903/fire_6903_2023-02-18_pre_sentinel_1.tif,0.13%,NO
piedmont_new/fire_6903/fire_6903_2023-02-17_pre_landsat_2.tif,27.46%,YES
piedmont_new/fire_6903/fire_6903_2023-02-15_pre_sentinel_2.tif,0.00%,NO
piedmont_new/fire_6903/fire_6903_2023-02-18_pre_landsat_1.tif,22.64%,YES
piedmont_new/fire_6903/fire_6903_2023-02-13_pre_sentinel_3.tif,0.00%,NO
piedmont_new/fire_6821/fire_6821_2022-07-18_pre_sentinel_1.tif,0.00%,NO
piedmont_new/fire_6821/fire_6821_2022-07-17_pre_landsat_2.tif,0.00%,NO
piedmont_new/fire_6821/fire_6821_2022-07-15_pre_sentinel_2.tif,0.00%,NO
piedmont_new/fire_6821/fire_6821_2022-07-13_pre_sentinel_3.tif,0.00%,NO
piedmont_new/fire_6821/fire_6821_2022-07-17_pre_landsat_1.tif,98.11%,YES
piedmont_new/fire_6558/fire_6558_2022-02-07_pre_landsat_3.tif,33.41%,YES
piedmont_new/fire_6558/fire_6558_2022-02-06_pre_landsat_5.tif,0.60%,NO
piedmont_new/fire_6558/fire_6558_2022-02-05_pre_sentinel_1.tif,0.00%,NO
piedmont_new/fire_6558/fire_6558_2022-02-07_pre_landsat_1.tif,1.34%,NO
piedmont_new/fire_6558/fire_6558_2022-02-06_pre_landsat_6.tif,0.15%,NO
piedmont_new/fire_6558/fire_6558_2022-02-07_pre_landsat_2.tif,63.40%,YES
piedmont_new/fire_6558/fire_6558_2022-02-07_pre_landsat_4.tif,100.00%,YES
piedmont_new/fire_6558/fire_6558_2022-01-31_pre_sentinel_3.tif,0.00%,NO
piedmont_new/fire_6558/fire_6558_2022-02-03_pre_sentinel_2.tif,0.27%,NO
piedmont_new/fire_5096/fire_5096_2015-12-20_pre_landsat_2.tif,16.26%,NO
piedmont_new/fire_5096/fire_5096_2015-12-21_pre_landsat_1.tif,100.00%,YES
piedmont_new/fire_5096/fire_5096_2015-12-17_pre_sentinel_1.tif,0.00%,NO
piedmont_new/fire_6481/fire_6481_2021-03-07_pre_sentinel_3.tif,0.00%,NO
piedmont_new/fire_6481/fire_6481_2021-03-12_pre_sentinel_1.tif,0.00%,NO
piedmont_new/fire_6481/fire_6481_2021-03-08_pre_landsat_1.tif,100.00%,YES
piedmont_new/fire_6481/fire_6481_2021-03-10_pre_sentinel_2.tif,36.32%,YES
piedmont_new/fire_6855/fire_6855_2022-08-12_pre_sentinel_1.tif,0.00%,NO
