threshold,IoU,Precision,Recall,F1,Accuracy,tp,tn,fp,fn
0.6,0.16145880361294496,0.1659930303164947,0.8552995475277048,0.27802760034151724,0.862844554656142,377300,11950029,1895687,63832
0.61,0.16369746171311206,0.16849444671129551,0.8518493330794218,0.2813402374665172,0.8656256439488956,375778,11991284,1854432,65354
0.62,0.16598221216758638,0.17106244856907668,0.848231368388581,0.2847079634784775,0.8683986838804467,374182,12032498,1813218,66950
0.63,0.16823981181877729,0.17362273485557111,0.8443935148662793,0.288022730374559,0.8711019393500926,372489,12072812,1772904,68643
0.64,0.17047225823780757,0.17618423329295965,0.8402088263830136,0.29128799142532774,0.8737601183970034,370643,12112635,1733081,70489
0.65,0.17278517611841182,0.17885452041597802,0.835842786286172,0.2946578417497679,0.8764426555108581,368717,12152886,1692830,72415
0.66,0.17519122502989712,0.18165428776390952,0.8311956511882875,0.29814930467295425,0.8791695691029954,366667,12193895,1651821,74465
0.67,0.17774535762472518,0.1846282761745866,0.8266255905261729,0.3018400449916067,0.8819274202399292,364651,12235312,1610404,76481
0.68,0.18042649982952857,0.18777518549444713,0.821756299701658,0.3056971324658572,0.8847442066997557,362503,12277703,1568013,78629
0.6900000000000001,0.18306058717115037,0.19093278605500788,0.8161752037938572,0.30946950196555056,0.887536775081529,360041,12320062,1525654,81091
0.7000000000000001,0.1857482785158877,0.19419331319937025,0.8102926108284865,0.313301364264575,0.890324933813252,357446,12362491,1483225,83686
0.71,0.18847078146978605,0.19752985381664978,0.8042876055239518,0.3171651882857635,0.8930689960444733,354797,12404344,1441372,86335
0.72,0.19127629504810462,0.20102784469673268,0.7977000081608046,0.321128346006718,0.8958616344206918,351891,12447148,1398568,89241
0.73,0.19406937753389125,0.20457659166672412,0.7907315724091476,0.3250554435703883,0.8986084264352775,348817,12489465,1356251,92315
0.74,0.1969354689802704,0.2082786619952168,0.7833641631076235,0.3290661394838555,0.9013669775166637,345567,12532126,1313590,95565
0.75,0.1997256565460638,0.21201997437465217,0.7749947861410921,0.332952210253681,0.9041182491757448,341875,12575125,1270591,99257
0.76,0.20241994324848062,0.21581146866163015,0.7653740830408865,0.33668759790960245,0.9068834497294289,337631,12618875,1226841,103501
0.77,0.20541210185746334,0.2200074030135925,0.7558803260701841,0.34081638874549375,0.9097180147783466,333443,12663560,1182156,107689
0.78,0.2087226683936169,0.2246280794476159,0.7466903330522214,0.3453607212019069,0.9125959063888683,329389,12708730,1136986,111743
0.79,0.21258513506366342,0.22993290192635787,0.7380602631411746,0.3506312698717986,0.9155898487895995,325582,12755311,1090405,115550
0.8,0.21680234148549968,0.2357621357693877,0.7294301932301277,0.35634766937514695,0.9186376869131659,321775,12802662,1043054,119357
0.81,0.2212323108734566,0.24199167155157134,0.7205847682779594,0.36230994972101477,0.9216792955311061,317873,12850019,995697,123259
0.8200000000000001,0.22585973480848917,0.24864451137041427,0.7113789069938088,0.368491966972265,0.9247140446934126,313812,12897437,948279,127320
0.8300000000000001,0.2305894675363744,0.25565199580100667,0.7016833963530031,0.37476261777106096,0.9277077071163626,309535,12944484,901232,131597
0.84,0.23553912800943647,0.26325656502853756,0.6910833945394872,0.38127343797007124,0.9307444161231359,304859,12992545,853171,136273
0.85,0.24077977875484158,0.2716007891890496,0.6796718442552189,0.38811041305869165,0.9338272514693228,299825,13041623,804093,141307
0.86,0.24624158592106665,0.2807158259761562,0.6672311235639068,0.39517471749499267,0.9369363347324751,294337,13091530,754186,146795
0.87,0.25187898350616444,0.29064447472165716,0.6537952358930965,0.40240148474056564,0.9400410783400224,288410,13141814,703902,152722
0.88,0.25726543722493717,0.30131314959878935,0.6376617429703436,0.40924601419557477,0.9431573010365891,281293,13193452,652264,159839
0.89,0.26465308242899765,0.31496601209756003,0.6236024591278659,0.4185386226251526,0.9464998157746195,275091,13247408,598308,166041
0.9,0.27251472793297005,0.3304490623965136,0.6085162717735143,0.428308952421076,0.9498421905237594,268436,13301815,543901,172696
0.91,0.28117507348239074,0.34838048189401594,0.5930923170388774,0.4389330955863437,0.953183305372885,261632,13356353,489363,179500
0.92,0.2906942247963801,0.36920590984514745,0.5775255479085494,0.45044630423094045,0.9564888630438282,254765,13410446,435270,186367
0.93,0.30101634578157693,0.3940260307351939,0.5604830300227469,0.46274029316229043,0.9598142991372198,247247,13465474,380242,193885
0.9400000000000001,0.31151174529115677,0.4240178846362569,0.5400265680113766,0.47504224522319793,0.9631472946306975,238223,13522116,323600,202909
0.9500000000000001,0.31966477228821266,0.4567395904011985,0.5157707896955896,0.4844635936548115,0.9661064497921439,227523,13575093,270623,213609
0.96,0.3270635644768807,0.4983883488396228,0.4875570124135069,0.4929131805205497,0.9690258481086934,215077,13629248,216468,226055
0.97,0.3312222589381584,0.5532230598128303,0.4521753126048336,0.49762127010693746,0.9718095971903663,199469,13684627,161089,241663
0.98,0.3249472557260529,0.6380644973894374,0.39837735643751987,0.49050594457477087,0.9744464279314787,175737,13746031,99685,265395
0.99,0.27474978708622483,0.781265247349146,0.29764560267674306,0.4310646486440064,0.9757404852350912,131301,13808955,36761,309831
1.0,0.0,0.0,0.0,0.0,0.9691232103820234,0,13845716,0,441132
