threshold,IoU,Precision,Recall,F1,Accuracy,tp,tn,fp,fn
0.65,0.27456577442162144,0.2938057462626832,0.8074249884388163,0.43083813709488744,0.9341302574227703,356181,12989596,856120,84951
0.66,0.27707911257456563,0.2971209669584535,0.8042173317736913,0.43392630469092547,0.9352123015517483,354766,13006470,839246,86366
0.67,0.2795933389264379,0.300493457288849,0.800792053172275,0.4370034258262406,0.9362907059695736,353255,13023388,822328,87877
0.68,0.2821415652528192,0.3039247365710843,0.7974279807404405,0.44010984486788773,0.937353711609446,351771,13040059,805657,89361
0.6900000000000001,0.28479088349112486,0.30752311074895416,0.7939278945984242,0.4433264347761743,0.938436945643993,350227,13057079,788637,90905
0.7000000000000001,0.2875203282874074,0.31126050120077214,0.7903439333351289,0.4466264638475044,0.939528299034188,348646,13074252,771464,92486
0.71,0.29031939642516014,0.31511990048395744,0.7867282355394578,0.4499961708622688,0.9406195124354925,347051,13091437,754279,94081
0.72,0.2931923350206812,0.31913448602137523,0.7829289192350412,0.4534396383591247,0.9417222049258165,345375,13108867,736849,95757
0.73,0.29601309441764045,0.3231622902716093,0.7789323830508605,0.4568057113107142,0.9428013792825395,343612,13126048,719668,97520
0.74,0.2992634251300649,0.3277976337786034,0.7746683532366554,0.46066627694936213,0.9439921247849764,341731,13144941,700775,99401
0.75,0.3029646948087285,0.3330142612485124,0.7705108674954261,0.4650389888081726,0.9452639238550022,339897,13164945,680771,101235
0.76,0.3067698554219465,0.33850284523522944,0.7659385399381418,0.469508615264604,0.9465570012363813,337880,13185436,660280,103252
0.77,0.3108841194723989,0.34446603057114894,0.7612732696788997,0.4743121257521537,0.9478965549294002,335822,13206632,639084,105310
0.78,0.31496482978484086,0.35053793943978284,0.7563155699427664,0.4790467696246857,0.9492090907665561,333635,13227571,618145,107497
0.79,0.31890580317166567,0.3566555106154742,0.7508092815755658,0.4835914733640051,0.950488449236668,331206,13248278,597438,109926
0.8,0.32280520972014054,0.3630874041960167,0.7442216842124184,0.4880615897683231,0.9517932856848474,328300,13269826,575890,112832
0.81,0.32716146178867345,0.370201188385484,0.7378109046725075,0.49302435047360804,0.9531482381558193,325472,13292012,553704,115660
0.8200000000000001,0.33126590134691003,0.3773044333130427,0.7308107323884748,0.497670522503874,0.9544473350594891,322384,13313660,532056,118748
0.8300000000000001,0.33538129759519736,0.3847127553640572,0.7234115865545749,0.5023004218684118,0.9557359327963727,319120,13335334,510382,122012
0.84,0.33998912885535093,0.392970932004648,0.7160487110433903,0.5074505732447275,0.9570798961394418,315872,13357783,487933,125260
0.85,0.3447187913542088,0.40165420509110206,0.7086110279916055,0.5127001875272699,0.9584086706878936,312591,13380048,465668,128541
0.86,0.3497688037190487,0.4111620780871946,0.7008197092933476,0.5182647570604173,0.9597723024700754,309154,13402967,442749,131978
0.87,0.355916752445419,0.4228681043198789,0.6921170987368703,0.5249831873695685,0.9613272290711002,305315,13429021,416695,135817
0.88,0.3623781695172931,0.43570206383436627,0.6828727002348348,0.5319788211316436,0.9629000742501069,301237,13455570,390146,139895
0.89,0.369242557680151,0.45001394733968975,0.6729051621736651,0.5393384135203939,0.9645074966850624,296840,13482932,362784,144292
0.9,0.37617926656645045,0.46586478745517024,0.6614800105183786,0.5467009602145054,0.9661301079146353,291800,13511154,334562,149332
0.91,0.382182418604149,0.48201914004582014,0.6485315053090538,0.5530129888493434,0.9676292489428032,286088,13538284,307432,155044
0.92,0.3889955374531156,0.5017026147425894,0.6339100314644905,0.5601105598092211,0.9692560598390906,279638,13567976,277740,161494
0.93,0.39467058878189293,0.5233088004558664,0.616203313293966,0.5659696110220401,0.97081812587353,271827,13598104,247612,169305
0.9400000000000001,0.39987539603546046,0.5481134335197395,0.5965379976968209,0.571301408217481,0.9723568837577043,263152,13628763,216953,177980
0.9500000000000001,0.40264235942723775,0.5760840290869785,0.572168874622549,0.5741197721778275,0.9737897400462293,252402,13659984,185732,188730
0.96,0.39954520641532904,0.6045739710338663,0.5408947888613717,0.5709643405526488,0.9749008318699821,238606,13689654,156062,202526
0.97,0.38892170953434163,0.6365470483139429,0.4999410607255765,0.5600340227133361,0.9757458748073746,220540,13719793,125923,220592
0.98,0.36987366338710315,0.6805492842690624,0.447582582991022,0.5400113455629514,0.976456038448788,197443,13753036,92680,243689
0.99,0.3127318939787181,0.7298481977872556,0.3536719167958717,0.47645965261742174,0.9760013545325037,156016,13787967,57749,285116
1.0,0.0,0.0,0.0,0.0,0.9691232103820234,0,13845716,0,441132
